City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
248,Tarakan,ID,81.9,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
251,Bac Lieu,VN,85.77,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
252,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
262,Ambulu,ID,84.43,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
266,Dakar,SN,77.88,clear sky,14.6937,-17.4441,Redface Studios Meublés
270,Caraballeda,VE,82.47,broken clouds,10.6112,-66.8522,Hotel 15 Letras
272,Cruz,BR,79.09,clear sky,-2.9178,-40.1717,Hotel Villaboibom
277,Harper,LR,77.59,scattered clouds,4.375,-7.7169,Screensaver
280,Kulhudhuffushi,MV,81.88,clear sky,6.6221,73.07,Hondaafushi Island Resort
283,Atar,MR,85.98,clear sky,20.5169,-13.0499,Oumou Elghoura
288,Meulaboh,ID,81.27,scattered clouds,4.1363,96.1285,Kost Pria
289,Coruripe,BR,76.69,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
292,Pepel,SL,76.6,overcast clouds,8.5817,-13.0628,Kingho Railway and Port
298,Cabo Rojo,PR,81.97,overcast clouds,18.0866,-67.1457,Hotel Perichi's
307,Kavieng,PG,84.63,light rain,-2.5744,150.7967,Nusa Island Retreat
312,Lhokseumawe,ID,84.69,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
313,Mocuba,MZ,77.07,broken clouds,-16.8392,36.9856,Phama Lodge
314,Cabedelo,BR,77.67,clear sky,-6.9811,-34.8339,Hotel Pigalle
318,Mangrol,IN,78.04,clear sky,21.1167,70.1167,Hotel The Royal Honours
329,Bakel,SN,85.17,clear sky,14.905,-12.4568,Ablaye Diallo Bakel
331,Sinnamary,GF,79.23,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
332,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
